resolution	date	title	session	agendaItem	content	keywords
E/RES/2020/1	20 August 2019	Working Arrangements For The 2020 Session Of The Economic And Social Council : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	(d) The one-day special meeting of the Council on international cooperation in tax matters will be held on Friday, 1 May 2020;	[]
E/RES/2020/1	20 August 2019	Working Arrangements For The 2020 Session Of The Economic And Social Council : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	(e) The multi-stakeholder forum on science, technology and innovation for the Sustainable Development Goals will be held on Tuesday, 12 May, and Wednesday, 13 May 2020;	[]
E/RES/2020/1	20 August 2019	Working Arrangements For The 2020 Session Of The Economic And Social Council : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	(f) The Development Cooperation Forum will be held on Thursday, 14 May, and Friday, 15 May 2020;	[]
E/RES/2020/1	20 August 2019	Working Arrangements For The 2020 Session Of The Economic And Social Council : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	(g) The operational activities for development segment will be held from Tuesday, 19 May, to Thursday, 21 May 2020;	[]
E/RES/2020/1	20 August 2019	Working Arrangements For The 2020 Session Of The Economic And Social Council : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	(h) The meetings of the management segment will be held on Tuesday, 2 June, and Wednesday, 3 June 2020; and on Tuesday, 21 July, and Wednesday, 22 July 2020;	[]
E/RES/2020/1	20 August 2019	Working Arrangements For The 2020 Session Of The Economic And Social Council : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	(i) The humanitarian affairs segment will be held from Tuesday, 9 June, to Thursday, 11 June 2020;	[]
E/RES/2020/1	20 August 2019	Working Arrangements For The 2020 Session Of The Economic And Social Council : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	(j) The integration segment will be held on Monday, 6 July 2020;	[]
E/RES/2020/1	20 August 2019	Working Arrangements For The 2020 Session Of The Economic And Social Council : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	(k) The high-level political forum on sustainable development, convened under the auspices of the Council, will be held from Tuesday, 7 July, to Monday, 13 July 2020;	[]
E/RES/2020/1	20 August 2019	Working Arrangements For The 2020 Session Of The Economic And Social Council : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	(l) The high-level segment of the Council, including the three-day ministerial segment of the high-level political forum on sustainable development, convened under the auspices of the Council, will be held from Tuesday, 14 July, to Friday, 17 July 2020;	[]
E/RES/2020/1	20 August 2019	Working Arrangements For The 2020 Session Of The Economic And Social Council : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	2. Also decides that the organizational session regarding the programme of work of the Council from July 2020 to July 2021 will be held on Thursday, 23 July 2020.	[]
E/RES/2020/1	20 August 2019	Working Arrangements For The 2020 Session Of The Economic And Social Council : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	1st plenary meeting	[]
E/RES/2020/1	20 August 2019	Working Arrangements For The 2020 Session Of The Economic And Social Council : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	25 July 2019	[]
E/RES/2020/2	10 February 2020	Support To The Sahel Region : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	Recalling its resolutions 2009/32 of 31 July 2009, 2011/43 of 29 July 2011 and 2019/15 of 8 July 2019,	[]
E/RES/2020/2	10 February 2020	Support To The Sahel Region : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	Recognizing that development, peace, security and human rights are interlinked and mutually reinforcing,	[]
E/RES/2020/2	10 February 2020	Support To The Sahel Region : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	Recalling that the Sustainable Development Goals and targets are integrated and indivisible, global in nature and universally applicable, taking into account different national realities, capacities and levels of development and respecting national policies and priorities, 	[]
E/RES/2020/2	10 February 2020	Support To The Sahel Region : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	Recalling also the joint meetings of the Economic and Social Council and the Peacebuilding Commission on the themes “Linkages between climate change and challenges to peacebuilding and sustaining peace in the Sahel” and “The situation in the Sahel”, held in New York on 13 November 2018 and 28 June 2017, respectively,	[]
E/RES/2020/2	10 February 2020	Support To The Sahel Region : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	1. Acknowledges the serious humanitarian, security and development challenges facing the Sahel region;	[]
E/RES/2020/2	10 February 2020	Support To The Sahel Region : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	2. Stresses the importance of adequately addressing the economic, social and environmental challenges and the humanitarian situation in the region, which is characterized by, inter alia, extreme poverty, food insecurity, forced displacement and social inequalities, and calls for humanitarian assistance, in line with General Assembly resolution 46/182 of 19 December 1991, and development assistance, in line with Assembly resolutions 71/243 of 21 December 2016 and 72/279 of 31 May 2018;	['address']
E/RES/2020/2	10 February 2020	Support To The Sahel Region : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	3. Recognizes the adverse effects of climate change, ecological changes and natural disasters, including through drought, desertification, land degradation and food insecurity, on the development of the Sahel region, and continues to stress the need for long-term strategies by Governments and the United Nations to build resilience, and encourages them to continue to integrate this information into their activities;	['information']
E/RES/2020/2	10 February 2020	Support To The Sahel Region : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	4. Stresses the importance of national and regional ownership, as well as good governance, and commends the growing leadership of the countries of the region and of regional and subregional organizations, including the African Union, the Economic Community of West African States and the Group of Five for the Sahel, in addressing the multidimensional challenges in the Sahel region;	['address']
E/RES/2020/2	10 February 2020	Support To The Sahel Region : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	5. Takes note of the collective efforts of the United Nations towards recalibrating the United Nations integrated strategy for the Sahel[footnoteRef:1] and developing the United Nations Support Plan for the Sahel to expedite its impact, calls upon relevant entities of the United Nations system to support its effective implementation, in accordance with their respective mandates and in line with the needs of the people in the Sahel region and national and regional priorities, and encourages close collaboration with partners as well as countries of the region to ensure that the international response to the situation in the Sahel is aligned with the 2030 Agenda for Sustainable Development,[footnoteRef:2] Agenda 2063 of the African Union, the Paris Agreement,[footnoteRef:3] the Sendai Framework for Disaster Risk Reduction 2015-2030[footnoteRef:4] and the security and development strategy of the Group of Five for the Sahel; [1: S/2013/354, annex.] [2: General Assembly resolution 70/1.] [3: See FCCC/CP/2015/10/Add.1, decision 1/CP.21, annex.] [4: General Assembly resolution 69/283, annex II.] 	[]
E/RES/2020/2	10 February 2020	Support To The Sahel Region : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	6. Stresses the need for strengthening collective and integrated engagement across the Sahel region, in line with existing frameworks, including the Group of Five for the Sahel Priority Investment Programme and the African Union Strategy for the Sahel Region, and in this regard welcomes the strengthened cooperation between the United Nations and the African Union, including under the African Union-United Nations Framework for the Implementation of Agenda 2063 and the 2030 Agenda for Sustainable Development;	[]
E/RES/2020/2	10 February 2020	Support To The Sahel Region : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	7. Recognizes that the multidimensional challenges in the Sahel have a disproportionate impact on women and youth, and encourages Member States, including the countries in the Sahel region, and entities of the United Nations system, in accordance with their mandates, to support as a matter of priority the empowerment of women, including effective participation and decision-making in political, social and economic life, and to create opportunities for women and youth, particularly those in rural, borderland and underserved regions, consistent with national and regional priorities;	[]
E/RES/2020/2	10 February 2020	Support To The Sahel Region : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	8. Calls upon the Secretary-General, relevant organs and bodies of the United Nations, international financial institutions, the African Union and other regional and subregional organizations and other relevant actors, such as the Sahel Alliance, to continue to assist the countries of the Sahel region through better coordinated and effective support, including through continued effective development assistance, in conformity with national and regional priorities and policies, including the promotion of capacity-building and institution-building in order to lay a solid foundation for long-term sustainable development and peace;	[]
E/RES/2020/2	10 February 2020	Support To The Sahel Region : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	9. Recalls the importance of close, strategic, coordinated and operational partnerships among Governments, the relevant organs and bodies of the United Nations, such as the United Nations Office for West Africa and the Sahel, international financial institutions, regional and subregional actors, the private sector and civil society in implementing local, national, cross-border and regional initiatives to achieve sustainable development and peace in the Sahel region;	[]
E/RES/2020/2	10 February 2020	Support To The Sahel Region : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	10. Stresses the importance of safeguarding core social expenditures in the Sahel, including for health, education, nutrition and access to clean water, as well as for basic infrastructure, such as energy, to strengthen social and economic development, in line with national priorities, despite the increasing burden on the national budgets of the countries in the region to address their security challenges;	['address']
E/RES/2020/2	10 February 2020	Support To The Sahel Region : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	11. Also stresses the importance of supporting the resident coordinators and the United Nations country teams in the Sahel region, in line with General Assembly resolution 72/279, to ensure the enhanced coordination and impact of United Nations development activities in supporting the national Governments in the Sahel to achieve the Sustainable Development Goals;	[]
E/RES/2020/2	10 February 2020	Support To The Sahel Region : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	12. Calls upon the entities of the United Nations development system, in line with General Assembly resolution 72/279, to strengthen capacities, resources and skill sets to support national Governments, including in the Sahel region, in achieving the Sustainable Development Goals and, where relevant, build their capacities and expertise to promote progress on those Goals lagging behind, in line with respective mandates and building on comparative advantages, and reducing gaps, overlaps and duplication across entities;	[]
E/RES/2020/2	10 February 2020	Support To The Sahel Region : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	13. Requests United Nations funds and programmes, including the United Nations Development Programme, and specialized agencies to pay particular attention to the coordination and impact of their activities in the Sahel region, in line with General Assembly resolution 72/279;	[]
E/RES/2020/2	10 February 2020	Support To The Sahel Region : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	14. Welcomes the use by the Peacebuilding Commission of its platform to sustain international attention on the Sahel region, and invites it, in its advisory role to the Economic and Social Council, to further continue such efforts by mobilizing deeper commitment and partnership among Member States, the United Nations system and regional and international partners, including international financial institutions and regional and subregional organizations, for the effective implementation of the United Nations integrated strategy for the Sahel and the United Nations Support Plan for the Sahel;	[]
E/RES/2020/2	10 February 2020	Support To The Sahel Region : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	15. Requests the Secretary-General to include a section on the implementation of the present resolution, including on how the United Nations system is implementing integrated, coherent and coordinated support to achieve sustainable development in the Sahel region, consistent with national and regional priorities and in line with General Assembly resolution 72/279, within existing reporting obligations to the Economic and Social Council at its 2020 session under the agenda item entitled “Coordination, programme and other questions”, and decides to include in the provisional agenda of its 2021 session, under the item entitled “Coordination, programme and other questions”, a sub-item entitled “Sustainable development in the Sahel”;	[]
E/RES/2020/2	10 February 2020	Support To The Sahel Region : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	16. Decides to consider this matter at its 2020 session under the agenda item entitled “Coordination, programme and other questions”.	[]
E/RES/2020/2	10 February 2020	Support To The Sahel Region : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	5th plenary meeting	[]
E/RES/2020/2	10 February 2020	Support To The Sahel Region : Resolution / Adopted By The Economic And Social Council	2020	Economic and Social Council	10 December 2019	[]
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	Expressing solidarity with Member States that are fighting the coronavirus disease 2019 (COVID-19),	[]
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	Recalling its resolution 2020/1 of 25 July 2019 on the working arrangements for the 2020 session of the Council and its resolution 2019/11 of 7 June 2019 on the provisional calendar of conferences and meetings in the economic, social and related fields for 2020 and 2021, 	[]
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	Taking into account the impact of COVID-19 on the working arrangements for the 2020 session of the Council and sessions of its subsidiary bodies,	[]
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	Recalling its decision 2020/205 of 3 April 2020, by which the Council was authorized to adopt decisions through a silence procedure, 	[]
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	Recalling also decisions already taken, including in consultation with the President of the General Assembly, to postpone the youth plenary (scheduled for 31 March), the youth forum of the Council (scheduled for 1 and 2 April), the joint thematic event on the least developed countries (scheduled for 13 April) and the special meeting of the Council on the Sahel region (scheduled for 14 April), 	[]
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	Noting that the Council is expected to adopt the working arrangements for its 2021 session at the organizational meeting of the 2021 session, on 23 July 2020,	[]
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	Encouraging Member States to make use of virtual platforms, where appropriate, to conduct preparatory meetings and informal consultations, 	[]
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	1. Decides to further adjust the working arrangements for the 2020 session of the Economic and Social Council, for meetings scheduled to be held in April and May, as follows:	[]
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	(a) The following meetings and forums of the Council will be postponed to a later date during the 2020 session and will be held, as applicable, in a scaled-down and abbreviated format, with final modalities to be decided by the Bureau of the Council, following consultations with Member States, taking into account the possibility of meeting at United Nations Headquarters and the availability of conference services:	[]
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	(i) Management meeting to conduct elections (scheduled for 15 April);	[]
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	(ii) Forum on financing for development follow-up (scheduled for 20 to 23 April);	[]
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	(b) The following meetings and forums of the Council will be deferred to the 2021 session:[footnoteRef:1] [1: Subject to the decision of the Council on the working arrangements for its 2021 session.] 	[]
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	(i) Partnership forum (scheduled for 3 April);	[]
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	(ii) Special meeting of the Council on international cooperation in tax matters (scheduled for 1 May); 	[]
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	(iii) Multi-stakeholder forum on science, technology and innovation for the Sustainable Development Goals (scheduled for 12 and 13 May);	[]
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	(iv) Development Cooperation Forum (scheduled for 14 and 15 May);	[]
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	(c) The planning of the operational activities for development segment (scheduled for 19 to 21 May) will proceed, taking into account the prevailing conditions relating to COVID-19 and available technological and procedural solutions in the interim period, with final modalities to be decided by the Bureau of the Council, following consultations with Member States, taking into account the possibility of meeting at United Nations Headquarters and the availability of conference services; 	[]
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	2. Also decides, following consultations with the Chairs of the bodies concerned, to adjust the working arrangements for subsidiary bodies of the Council meeting in New York, as follows:	[]
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	(a) Short procedural meetings of the Commission on the Status of Women (session scheduled for 9 to 20 March), the Commission on Population and Development (session scheduled for 30 March to 3 April) and the United Nations Forum on Forests (session scheduled for 4 to 8 May) will be held, at a later date during the 2020 session of the Council, in order to adopt procedural and other decisions; 	[]
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	(b) The sessions of the following subsidiary bodies will be postponed to a later date to be decided and will be held, as applicable, in a scaled-down and abbreviated format, with final modalities to be decided by the Bureau of the Council, following consultations with elected officers and Member States, taking into account the possibility of meeting at United Nations Headquarters and the availability of conference services:	[]
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	(i) Committee of Experts on Public Administration (session scheduled for 30 March to 3 April);	[]
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	(ii) Committee of Experts on International Cooperation in Tax Matters (session scheduled for 27 to 30 April);	[]
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	(iii) Committee on Non-Governmental Organizations (session scheduled for 18 to 28 May and 5 June);	[]
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	3. Encourages the members of the Permanent Forum on Indigenous Issues (session scheduled for 13 to 24 April) to conduct informal consultations through virtual means with a view to reaching agreement on procedural recommendations to prepare for the 2021 session of the Forum;	['indigenous']
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	4. Decides to keep the present working arrangements under review. 	[]
E/RES/2020/3	17 April 2020	Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies :Resolution / Adopted By The Economic And Social Council 	2020	Economic and Social Council	14 April 2020	[]
E/RES/2020/4	12 June 2020	Further Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies	2020	Economic and Social Council	Expressing solidarity with Member States that are fighting the coronavirus disease (COVID-19),	[]
E/RES/2020/4	12 June 2020	Further Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies	2020	Economic and Social Council	Recalling its resolution 2020/3 of 14 April 2020 on the revised working arrangements for the 2020 session of the Council and sessions of its subsidiary bodies, its resolution 2020/1 of 25 July 2019 on the working arrangements for the 2020 session of the Council and its resolution 2019/11 of 7 June 2019 on the provisional calendar of conferences and meetings in the economic, social and related fields for 2020 and 2021, 	[]
E/RES/2020/4	12 June 2020	Further Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies	2020	Economic and Social Council	Taking into account the continued impact of COVID-19 on the working arrangements for the 2020 session of the Council and sessions of its subsidiary bodies,	[]
E/RES/2020/4	12 June 2020	Further Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies	2020	Economic and Social Council	Recalling its decision 2020/205 of 3 April 2020, by which the Council was authorized to adopt decisions through a silence procedure, and its decision 2020/206 of 22 May 2020, by which the authorization was extended to the sessional bodies and subsidiary organs of the Council, 	[]
E/RES/2020/4	12 June 2020	Further Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies	2020	Economic and Social Council	Encouraging Member States to continue to make use of virtual platforms, where appropriate, to conduct preparatory meetings and informal consultations, 	[]
E/RES/2020/4	12 June 2020	Further Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies	2020	Economic and Social Council	Noting the informal meeting of the forum on financing for development followup held on 23 April 2020 and the informal meetings of the operational activities for development segment of the Council held from 19 to 22 and on 27 May 2020, using virtual platforms,	[]
E/RES/2020/4	12 June 2020	Further Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies	2020	Economic and Social Council	Noting also the informal meetings of the Committee of Experts on Public Administration held on 13, 15, 18, 21, 27 and 28 May 2020, using a virtual platform,	[]
E/RES/2020/4	12 June 2020	Further Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies	2020	Economic and Social Council	1. Decides to further adjust the working arrangements for the 2020 session of the Economic and Social Council, for meetings scheduled to be held in June and July, as follows:	[]
E/RES/2020/4	12 June 2020	Further Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies	2020	Economic and Social Council	(a) The following meetings of the Council will be held as informal meetings through the use of a virtual platform: 	[]
E/RES/2020/4	12 June 2020	Further Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies	2020	Economic and Social Council	(i) Informal meeting of the forum on financing for development follow-up on the theme “Financing a sustainable recovery from COVID-19” (Tuesday, 2 June 2020);	[]
E/RES/2020/4	12 June 2020	Further Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies	2020	Economic and Social Council	(ii) Management segment meeting(s) (Wednesday, 3 June 2020);	[]
E/RES/2020/4	12 June 2020	Further Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies	2020	Economic and Social Council	(iii) Council event to discuss the transition from relief to development (Monday, 8 June 2020);	[]
E/RES/2020/4	12 June 2020	Further Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies	2020	Economic and Social Council	(iv) Humanitarian affairs segment (Tuesday, 9 June, to Thursday, 11 June 2020);	[]
E/RES/2020/4	12 June 2020	Further Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies	2020	Economic and Social Council	(b) The dedicated management meeting to fill remaining vacancies in subsidiary bodies of the Council and related bodies for which secret balloting is required will be held as soon as feasible when conditions allow for the convening of an in-person meeting of the Council at United Nations Headquarters;	[]
E/RES/2020/4	12 June 2020	Further Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies	2020	Economic and Social Council	(c) The following meetings and forums of the Council will be held on the dates decided in its resolution 2020/1, in an adjusted format, as applicable, with final modalities to be decided by the Bureau of the Council, following consultations with Member States, taking into account the possibility of meeting at United Nations Headquarters in July and the availability of conference services, as follows:	[]
E/RES/2020/4	12 June 2020	Further Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies	2020	Economic and Social Council	(i) A further meeting of the operational activities for development segment will be held, with the timing and modalities to be decided by the Bureau of the Council;	[]
E/RES/2020/4	12 June 2020	Further Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies	2020	Economic and Social Council	(ii) Integration segment (Monday, 6 July 2020);	[]
E/RES/2020/4	12 June 2020	Further Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies	2020	Economic and Social Council	(iii) High-level political forum on sustainable development, convened under the auspices of the Council (Tuesday, 7 July, to Monday, 13 July 2020);	[]
E/RES/2020/4	12 June 2020	Further Revised Working Arrangements For The 2020 Session Of The Economic And Social Council And Sessions Of Its Subsidiary Bodies	2020	Economic and Social Council	(iv) High-level segment of the Council, including the three-day ministerial segment of the high-level political forum on sustainable development, convened under the auspices of the Council (Tuesday, 14 July, to Friday, 17 July 2020); 	[]
